,captions,vi_captions
10,"['Nam thanh niên mặc áo đen có mũ đang trùm trên đầu, mặc quần thể thao màu xanh tím than với vạch trắng to chạy dọc ống quần, đi dép lê màu đen với các vạch màu trắng ở trên quai dép.', 'Một nam thanh niên đi dép lê màu đen có viền trắng ở trên quai dép, mặc áo đen dài tay có mũ trùm đầu, mặc quần thể thao màu xanh tím than với vạch trắng chạy dọc bên hông quần.']","['The young man wore a black shirt with a cap over his head, blue - purple track pants with large white stripes running down the legs, and black slippers with white stripes on the straps.', 'A young man in black flip - flops with a white trim on the straps, wearing a long - sleeved black blouse with a hood, wearing blue - purple track pants with white stripes running along the sides of the pants.']"
11,"['Một nam thanh niên mặc áo mùa đông màu đen có mũ áo trùm trên đầu, mặc quần thể thao màu xanh tím than có vạch trắng, chân đi dép lê với các vạch trắng trên quai dép.', 'Một người đàn ông trẻ tuổi mặc áo đen dài tay trùm mũ lên đầu, mặc quần thể thao màu xanh tím than có đường kẻ trắng bên ống quần, chân đi dép lê có một số vạch trắng trên quai dép.']","['A young man wearing a black winter coat with a hood over his head, wearing blue - purple sports pants with white markings, and flip - flops with white markings on the straps.', 'A young man in a long - sleeved black shirt with a hat over his head, wearing blue - purple sports pants with a white line on the legs, and flip - flops with some white markings on the straps.']"
12,"['Nam thanh niên mặc áo quần màu đen, đi dép lê có sọc trắng', 'Nam thanh niên tóc ngắn, mặc quần áo màu đen, đi dép lê có sọc trắng ở phía trên']","['The young man was wearing black clothes and white striped slippers.', 'Young man with short hair, wearing black clothes, wearing slippers with white stripes at the top']"
13,"['Một nam thanh niên mặc áo có mũ màu đen, quần thể thao có sọc trắng, đi dép lê.', 'Một nam thanh niên tóc ngắn, mặc áo màu đen, có mũ và quần thể thao có sọc trắng, chân đi dép lê.']","['A young man wearing a black cap, white striped track pants, and flip - flops.', 'A young man with short hair, wearing a black blouse, hat and white striped track pants, and flip - flops.']"
14,"['Một nam thanh niên mặc áo khoác màu đen, dài tay, có mũ, quần thể thao màu đen có sọc trắng và đi dép lê. ', 'Một nam thanh niên tóc ngắn, mặc áo dài tay màu đen, có mũ, quần thể thao màu đen có các sọc trắng, và chân đi dép lê.']","['A young man wears a long-sleeved black jacket, a hat, black sports pants with white stripes, and flip-flops. ', 'A short - haired male, wearing a black long - sleeved blouse, hat, black sports pants with white stripes, and flip - flops.']"
15,"['Một phụ nữ tóc màu đen được cắt ngắn ngang cổ, mặc áo phông ngắn tay màu xanh dương, quần màu đen và đi giày thể thao màu đen. ', 'Một cô gái đi đôi giày màu đen với đế giày màu trắng, mặc quần dài màu đen ngắn đến mắt cá chân, mặc áo phông trơn màu xanh dương.']","['A woman with black hair was cut short across her neck, wearing a short-sleeved blue T-shirt, black pants, and black sneakers.', 'A girl wears black shoes with white soles, wears black pants that are short to the ankles, and wears a plain blue T - shirt.']"
16,"['Cô gái tay cầm điện thoại, mặc áo phông ngắn tay màu xanh dương, quần dài màu đen, chân đi đôi giày màu đen có lẫn màu tím ở mũi giày.', 'Một cô gái tóc đen ngắn đến cổ, tay cầm vật nhỏ màu đen, mặc áo phông đồng màu xanh dương, mặc quần dài đen, chân đi giày màu đen có viền tím ở mũi giày và đế giày màu trắng.']","['The girl holds a phone, wears a short-sleeved blue T-shirt, black pants, and black shoes with purple tips.', 'A girl with black hair short to the neck, small black object handles, wearing a blue bronze T - shirt, black pants, black shoes with purple trim at the toe and white soles.']"
17,"['Một cô gái trẻ tóc đen cắt ngắn đến cổ, mặc áo phông trơn màu xanh dương, mặc quần đen cộc đến mắt cá chân, đi giày thể thao có màu tím ở mũi giày và màu đen ở phía sau giày.', 'Một thiếu nữ đi giày thể thao pha hai màu tím và đen, mặc quần cộc đến mắt cá chân màu đen, mặc áo phông trơn màu xanh dương.']","['A young girl with black hair cut short to the neck, wearing a plain blue T-shirt, wearing black pants that are short to the ankles, wearing sneakers that are purple at the toe and black at the back of the shoes.', 'A teenage girl wears purple and black sneakers, black ankle shorts, and a plain blue T-shirt.']"
18,"['Một người phụ nữ, tóc ngang vai, áo cộc tay màu xanh dương quần màu đen, giầy thể thao màu tím hồng, có đế màu trắng', 'Một nữ thanh niên tóc ngắn ngang vai, áo cộc tay màu xanh, quần màu đen, đi đôi giày thể thao màu tím hồng']","['A woman, shoulder - length hair, blue blazer, black pants, purple - pink sneakers, white soles', 'A young woman with shoulder - length hair, blue blazer, black pants, and purple - pink sneakers.']"
19,"['Một cô gái tóc ngắn, màu đen, mặc áo màu xanh nhạt, quần dài màu đen, chân đi giày màu hồng tím.', 'Một cô gái tóc màu đen, ngắn, tay cầm điện thoại, mặc áo màu xanh dương, quần dài màu đen, chân đi đôi giày màu hồng tím có dây buộc màu trắng.']","['A short - haired, black girl, wearing a light blue blouse, black pants, pink - purple shoes.', 'A girl with short, black hair, a cell phone, a blue blouse, black pants, and purple - pink shoes with white laces.']"
20,"['Một cô gái tóc màu đen, ngắn ngang vai, mặc áo màu xanh dương, quần màu đen, đi giày thể thao có đế màu trắng', 'Cô gái đang đi trên đường có mái tóc ngắn ngang vai, mặc áo thể thao màu xanh dương quần màu đen, đi giầy thể thao']","['A girl with black hair, shoulder - length shorts, wearing a blue blouse, black pants, and white sneakers', 'The girl who is walking on the street has shoulder-length short hair, wears blue sports shirt black pants, wears sneakers']"
21,"['Một phụ nữ có mái tóc ngắn màu đen, quần màu đen mặc áo màu xanh dương, đi đôi giày thể thao', 'Cô gái đang đi trên đường có mái tóc ngắn ngang vai, mặc áo thể thao màu xanh dương quần màu đen, đi giầy thể thao']","['A woman with short black hair, black pants, blue blouse, and sneakers.', 'The girl who is walking on the street has shoulder-length short hair, wears blue sports shirt black pants, wears sneakers']"
22,"['Một cô gái mặc áo màu xanh nhạt, quần màu đen, tóc màu đen, cắt ngắn, chân đi đôi giày màu hồng tím, đế màu trắng.', 'Một cô gái đi đôi giày màu hồng tím, mặc áo ngắn tay màu xanh dương và quần dài màu đen, tóc màu đen cắt ngắn.']","['A girl wears a light blue blouse, black pants, black hair, short cut, pink - purple shoes, white soles.', 'A girl wears purple - pink shoes, a blue short - sleeved blouse and black pants, and short black hair.']"
23,"['Một nữ thanh niên tóc đen dài ngang vai, mặc áp thể thao mùa đông dài tay với hai màu xanh tím than ở phần cổ đến phần ngực và màu vàng ở phần thân dưới của áo, mặc quần dài đen, chân đi dép lê màu nâu. ', 'Một cô gái tóc đen dài ngang vai, mặc áo hai màu xanh tím than và vàng có khóa kéo lên cổ, mặc quần dài màu đen, chân đi dép lê màu xám.']","['A young woman with shoulder-length black hair, wearing a long-sleeved winter sweater with two shades of blue-violet at the neck to chest and yellow at the bottom of the shirt, wearing black pants and brown pear sandals.', 'A girl with shoulder - length black hair, wearing a blue - purple - and - gold tank top with zipper on the neck, wearing black pants, and gray slippers.']"
24,"['Cô gái tóc đen dài, mặc áo mùa đông có khóa kéo ở thân và túi áo với hai màu xanh tím than và màu vàng, mặc quần màu đen và di dép lê.', 'Cô gái chân đi dép lê, mặc quần bó dài màu đen, mặc áo lạnh tay dài trùm đến ngang bàn tay với hai màu xanh tím than từ ngực tới cổ áo và màu vàng ở còn lại của áo.']","['The long - haired black girl wore a winter coat with zipper on the body and pockets in blue - purple and yellow, black pants and pear sandals.', 'The girl wore long black tights, long slippers, and a cool shirt with long sleeves that reached up to her hands and two shades of blue - purple from her chest to her collar and yellow on the other side.']"
25,"['Một phụ nữ đi dép lê màu xám, có mái tóc dài, quăn ở phía sau, mặc quần màu đen, áo thể thao màu đen và vàng', 'Một phụ nữ có mái tóc dài, để buông, mặc áo thể thao màu vàng và đen, quần đen đi dép lê']","['A woman wearing gray slippers, with long, curly hair at the back, wearing black pants, a black and yellow sports shirt', 'A woman with long hair, to let go, wearing a yellow and black sports shirt, black pants, slippers']"
26,"['Một phụ nữ đang đi trên đường, có mái tóc dài chấm lưng, màu đen, mạc quần màu đen, áo màu vàng, đi dép', 'Một phụ nữ đang đi trên đường, có mái tóc dài chấm lưng, màu đen, mạc quần màu đen, áo màu vàng pha đen, chân đi dép lê']","['A woman walking on the street, with long hair, black back, black pants, yellow blouse, sandals', 'A woman walking down the street, with long hair, black on her back, black pants, a black - gold blouse, flip - flops.']"
27,"['Một phụ nữ đang tươi cười, mặc áo khoác màu vàng đen, quần màu đen, đi dép lê, áo thể thao đen pha vàng', 'Một phụ nữ đang tươi cười, tóc dài màu đen, mặc áo khoác màu vàng đen, quần màu đen, đi dép lê, áo thể thao đen pha vàng']","['A smiling woman, wearing a black and gold jacket, black pants, slippers, a black and gold sports shirt', 'A smiling woman, long black hair, wearing a black - and - gold jacket, black pants, slippers, a black - and - gold sports shirt']"
28,"['Một cô gái mặc áo khoác màu vàng-đen, quần dài bó sát màu đen, tóc đen dài quá vai, và chân đi dép lê màu đen.', 'Một cô gái tóc đen, dài, mặc áo khoác dài tay màu vàng-đen, quần dài ôm màu đen và chân đi dép lê.']","['A girl wears a yellow-black jacket, tight black pants, black hair that extends beyond her shoulders, and black slippers.', 'A long, black - haired girl wears a long - sleeved yellow - black jacket, black hugging pants, and flip - flops.']"
29,"['Một cô gái buộc tóc, mặc quần áo màu đen, áo có hai dòng chữ ngắn màu trắng ở phần ngực, đi giày thể thao màu trắng.', 'Một thiếu nữ da trắng, mặc áo phông đen ngắn tay có dòng chữ trắng ở ngực áo, mặc quần màu xanh rêu ngắn tới cổ chân, đi giày thể thao màu trắng.']","['A girl with her hair tied, wearing black clothes, a blouse with two short white inscriptions on the chest, and white sneakers.', 'A white teenager, wearing a short - sleeved black T - shirt with white inscriptions on the chest, wearing moss - blue pants that are short to the ankles, and white sneakers.']"
30,"['Một cô gái trẻ tóc buộc cao phía sau, mặc áo phông ngắn tay màu đen có hai dòng chữ trắng ở trước ngực, mặc quần xanh rêu có gấu quần được xắn lên đến cổ chân, đi giày thể thao màu trắng với đường viền màu xám ở thân giày và viền cổ giày màu đỏ.', 'Một nữ thanh niên tóc cột đuôi ngựa cao, mặc áo phông ngắn tay màu đen với hai dòng chữ trắng ở trước ngực áo, mặc quần xanh rêu ngắn tới cổ chân, đi giày thể thao trắng viền xám và đỏ.']","['A young girl with high hair tied behind her, wearing a black short - sleeved T - shirt with two white inscriptions in front of her chest, wearing moss - green pants with pant bottoms rolled up to her ankles, wearing white sneakers with a grey border on the body and a red neckline.', 'A tall, ponytailed young woman wore a black short - sleeved T - shirt with two white inscriptions on the front of the shirt, shorts of moss blue to the ankles, white sneakers with grey and red trim.']"
31,"['Một phụ nữ mặc bộ quần áo màu đen có in trang trí ở phía ngực, chân đi giày thể thao màu trắng, tóc buộc ra phía sau', 'Một phụ nữ tóc buộc phía sau, mặc bộ quần áo màu đen, đi giày thể thao màu trắng']","['A woman wearing black clothes with decorative prints on the chest side, feet in white sneakers, hair tied behind her', 'A woman with hair tied behind her, wearing black clothes, white sneakers']"
32,"['Một phụ nữ, mái tóc buộc cao phía sau, mặc bộ quần áo màu đen, quần xắn gấu, đi đôi giày thể thao màu trắng', 'Một phụ nữ buộc tóc ở phía sau, mặc áo cộc tay màu đen, quần màu đen có xắn gấu, đi giày thể thao màu trắng']","['A woman, her hair tied high behind her, wearing black clothes, bear shorts, and white sneakers.', 'A woman with her hair tied in the back, wearing a black blazer, black pants with a bear, and white sneakers.']"
33,"['Một cô gái buộc tóc cao, mặc áo ngắn tay màu đen, quần màu đen, và đi giày thể thao trắng.', 'Một cô gái mặc áo ngắn tay, màu đen, quần màu đen, tóc buộc cao và đi giầy thể thao màu trắng']","['A girl tied her hair high, wore a black short sleeve blouse, black pants, and white sneakers.', 'A girl wearing a short-sleeved blouse, black pants, high hair tie and white sneakers']"
34,"['Một người đàn ông tóc cắt ngắn, mặc áo bò dài tay màu xám và có hai nắp túi ở ngực, mặc quần bò màu xanh tím than.', 'Một thanh niên mặc bộ quần áo bò với màu xanh tím than ở phần thân áo nhạt hơn màu quần, hai tay áo có màu tro sáng.']","['A short - haired man, wearing a gray long - sleeved jeans and having two pocket caps on his chest, wore charcoal blue jeans.', 'A young man wears cow clothes with a bluish-violet color on the body that is lighter than the color of the pants, with light ash sleeves.']"
35,"['Người đàn ông tóc đen cắt ngắn sát da đầu ở phần thái dương, mặc bộ quần áo bò với màu quần xanh tím than sẫm hơn màu thân áo, hai tay áo màu xám tro, chân đi giày thể thao màu đen có viền trắng ở phía dưới của giày.', 'Người đàn ông đi giày màu đen có một đường viền trắng ở cuối, mặc quần bò màu xanh tím than đậm, áo màu bò xanh tím than nhạt và hai tay áo màu tro xám.']","['The black-haired man was cropped close to the scalp at the temples, wearing jeans with a darker shade of charcoal blue trousers, ash-gray sleeves, and black sneakers with a white trim at the bottom of the shoes.', 'The man wore black shoes with a white border at the end, wearing dark charcoal blue jeans, a light charcoal blue blazer, and grey ash sleeves.']"
36,"['Một nam thanh niên đi giày thể thao màu đen, áo khoác màu xám, quần màu đen, tóc ngắn', 'Một người đàn ông mặc áo khoác màu xám, quần màu đen, đi giày màu đen']","['A young man wearing black sneakers, gray jacket, black pants, short hair', 'A man wearing a gray jacket, black pants, black shoes']"
37,"['Một người đàn ông, mặc áo khoác có màu sắc khác nhau giữa tay áo và thân áo, đi giày màu đen, mặc quần màu đen', 'Một nam thanh niên, mặc áo khoác có màu sắc khác nhau giữa tay áo và thân áo, đi giày màu đen, mặc quần màu đen']","['A man, wearing a jacket of different colors between the sleeves and the body, wearing black shoes, wearing black pants', 'A young man, wearing a jacket of different colors between the sleeves and the body, wearing black shoes, wearing black pants']"
38,"['Một người đàn ông, mặc áo khoác có màu sắc khác nhau giữa tay áo và thân áo, đi giày màu đen nhãn hiệu Nike, mặc quần màu đen', 'Một na, thanh niên mặc áo khoác có màu tối, tay áo màu sáng hơn,  đi giày màu đen, mặc quần màu đen']","['A man, wearing a jacket of different colors between the sleeves and the body, wearing black Nike shoes, wearing black pants', 'A na, young man wearing a dark colored jacket, lighter colored sleeves, wearing black shoes, wearing black pants']"
39,"['Một cậu thanh niên mặc bộ quần áo bò dài tay, tay áo màu xám, chân đi đôi giày Nike.', 'Một nam thanh niên, tóc ngắn, mặc áo bộ quần áo jeans tối màu, tay áo màu xám và đi đôi giày NIKE.\n']","['A young man wearing long - sleeved jeans, grey sleeves, and Nike shoes.', 'A young man, short hair, wearing dark jeans, grey sleeves and NIKE shoes.']"
40,"['Một nam thanh niên tóc cắt ngắn cao, mặc áo dài tay màu trắng và quần dài màu đen.', 'Người đàn ông mặc quần dài màu đen cắm thùng với áo dài tay màu trắng có cổ. ']","['A tall, short - haired young man wearing a white long - sleeved blouse and black long pants.', 'Man in black long pants plugged barrel with white long sleeve blouse with neck. ']"
41,"['Một người đàn ông đi giày da màu đen, mặc áo trắng dài tay có cài khuy tay áo cắm thùng trong quần dài màu đen.', 'Một nam thanh niên mặc áo dài tay màu trắng có cổ và cài khuy ở tay áo, áo được dắt trong quần đen dài, đi giày da màu đen.']","['A man in black leather shoes, wearing a long - sleeved white blouse with buttons and a boxer sleeve in black trousers.', 'A young man wears a white long sleeve blouse with a collar and buttons at the sleeves, worn in long black pants, and black leather shoes.']"
42,"['Một người đàn ông mặc quần màu đen, áo sơ mi màu trắng, đi giày đen, tóc ngắn', 'Một người đàn ông có mái tóc ngắn, mặc áo sơ mi màu trắng, quần âu màu đen, chân đi giày công sở màu đen']","['A man in black pants, white shirt, black shoes, short hair', 'A man with short hair, wearing a white shirt, black trousers, legs in black work shoes']"
43,"['Một người đàn ông mặc áo sơ mi màu trắng, tay dài, quần màu đen, đi giày đen', 'Một người đàn ông mặc áo sơ mi màu trắng, tay dài, quần màu đen, đi giày đen và có mái tóc ngắn']","['A man wearing a white shirt, long sleeves, black pants, black shoes', 'A man wearing a white shirt, long sleeves, black pants, black shoes and short hair']"
44,"['Một người đàn ông mặc áo dài tay màu trắng, quần màu đen và đi đôi giày cũng màu đen.', 'Một cậu thanh niên mặc áo dài tay màu trắng, quần màu đen, tay đeo đồng hồ, và đi đôi giày màu đen.']","['A man wears a white long - sleeved shirt, black pants, and black shoes.', 'A young man wears a white long - sleeved shirt, black pants, a watch, and black shoes.']"
45,"['Một nam thanh niên mặc áo màu trắng, quần đen, và đi đôi giày màu đen.', 'Một nam thanh niên mặc áo dài tay màu trắng, quần màu đen và đi đôi giày màu đen.']","['A young man wears a white shirt, black pants, and black shoes.', 'A young man wears a white long - sleeved blouse, black pants, and black shoes.']"
46,"['Một người đàn ông bên ngoài mặc áo dài tay mùa đông không cài khóa thân áo với màu đen ở phần vai và cổ tay, màu xanh nhạt ở phần còn lại của áo, bên trong mặc áo sơ mi màu trắng, thắt cà vạt màu đen, áo sơ mi cắm thùng trong quần dài màu đen, đeo thắt lưng và đi giày da màu đen.', 'Một nam thanh niên tóc cắt ngắn màu đen, mặc áo khoác dài tay pha hai màu, màu đen ở phần vai và cổ tay áo và màu xanh nhạt ở phần còn lại, mặc áo sơ mi trắng và thắt cà vạt bên trong cắm thùng trong quần dài màu đen, có đeo thắt lưng.']","['A man outside wearing an unbuckled winter long sleeve blouse with black on the shoulders and wrists, light blue on the rest of the shirt, inside wearing a white shirt, a black tie, a tank top shirt in black trousers, a belt and black leather shoes.', 'A young man with short black hair, wearing a long-sleeved jacket of two colors, black on the shoulders and wrists and light blue on the rest, wearing a white shirt and tie inside a barrel in black trousers, with a belt.']"
47,"['Một anh thanh niên đi giày da thấp màu đen, mặc quần đen dài, cắm thùng áo sơ mi trắng, đeo thắt lưng và đeo cà vạt màu đen ở bên trong, bên ngoài khoác áo dài tay có màu đen ở phần vai và viền cổ tay áo và gấu áo, màu xanh dương ở phần thân áo, tóc đen cắt ngắn.', 'Một anh con trai tóc đen cắt ngắn, mặc bên trong áo sơ mi trắng thắt cà vạt màu đen, bên ngoài khoác áo pha hai màu, màu đen ở phần vai, cổ tay áo và gấu áo và màu xanh nhạt ở phần thân áo, mặc quần dài màu đen và đi giày da màu đen.']","['A young man wears low - heeled black leather shoes, long black pants, a boxed - in white shirt, a black belt and tie on the inside, a long - sleeved jacket with black on the shoulders and cuffs and hem, blue on the body, and short black hair.', 'A short-haired black-haired son wears a white shirt with a black tie, a black lab coat, black on the shoulders, cuffs and hem, and light blue on the body, black pants and black leather shoes.']"
48,"['Một người đàn ông, tóc cắt ngắn, áo khoác có hai màu trắng và đen, mặc quần màu đen, chân đi giày màu đen', 'Một người đàn ông mặc áo khoác có hai màu trắng và đen, không cài, mặc quần màu đen, đi đôi giày màu đen, tóc cắt ngắn']","['A man, short hair, white and black jacket, black pants, black shoes', 'A man in a white and black jacket, no braids, black pants, black shoes, short hair.']"
49,"['Một người đàn ông mặc áo khoác dài tay có cài phéc mơ tuya, quần màu đen, đi giày màu đen', 'Một người đàn ông mặc áo khoác dài tay có cài phéc mơ tuya, quần màu đen, đi giày màu đen, mái tóc cắt ngắn']","['A man in a long - sleeved jacket, black pants, black shoes.', 'A man in a long - sleeved jacket, black pants, black shoes, and short hair.']"
50,"['Một thanh niên trẻ tuổi, mặc áo khoác màu xám-đen có túi áo, quần vải màu đen và đi đôi giày màu đen.', 'Một nam thanh niên mặc áo khoác mỏng màu xám có túi áo, có khoảng đen ở phần vai, mặc quần màu đen và đi đôi giày màu đen.']","['A young man, wearing a gray-black jacket with pockets, black canvas pants and black shoes.', 'A young man wears a thin gray jacket with pockets, black at the shoulders, black pants, and black shoes.']"
51,"['Một nam thanh niên mặc áo khoác màu xám-đen, quần màu đen, và chân đi đôi giày màu đen.', 'Một nam thanh niên đi đôi giày màu đen, mặc áo khoác màu xám-đen và quần màu đen.']","['A young man wears a gray-black jacket, black pants, and black shoes.', 'A young man wearing black shoes, wearing a gray-black jacket and black pants.']"
52,"['Một cô gái tóc đen dài ngang vai mặc áo phông dài tay màu trắng, mặc quần dài màu xanh tím than, đi giày thể thao màu đen có đường viền cong màu trắng.', 'Một nữ thanh niên đi đôi giày thể thao màu đen thấp cổ có viền trắng hình móc câu ở bên thành giày, mặc quần dài màu xanh đen và áo phông trắng dài tay có sắn cổ tay áo.']","['A girl with shoulder - length black hair wears a white long - sleeved T - shirt, blue - purple long pants, and black sneakers with a white curved line.', 'A young woman wore low - heeled black sneakers with a hook - shaped white trim on the sides, black and blue pants, and a long - sleeved white T - shirt with cassava cuffs.']"
53,"['Cô gái tóc đen dài ngang vai, mặc áo phông trắng dài tay có sắn gấu, trên ngực áo có hình màu đen, mặc quần bò dài màu xanh tím than.', 'Một cô gái tóc đen dài, mái tóc cắt ngang lông mày, mặc một chiếc áo phông dài tay màu trắng, trên ngực áo có hình vẽ màu đen, mặc một chiếc quần bò.']","['The black-haired girl was shoulder-length, wearing a long-sleeved white T-shirt with bear cassava, on the chest a black figure, wearing long blue-violet jeans.', 'A long black-haired girl, her hair cut across her eyebrows, wearing a long-sleeved white T-shirt, on the chest with a black drawing, wearing a pair of jeans.']"
54,"['Một cô gái, tóc dài, mái bằng, mặc áo phông dài tay có họa tiết ở trước ngực, mặc quần màu đen, đi giày thể thao nhãn hiệu Nike màu xanh', 'Một cô gái, tóc dài, mái bằng, mặc áo phông dài tay màu trắng có in hình ảnh ở trước ngực, mặc quần màu đen, đi giày thể thao nhãn hiệu Nike màu xanh\n']","['A girl, long hair, bangs, wearing a long - sleeved T - shirt with a pattern on the front, black pants, blue Nike sneakers.', 'A girl, long hair, bangs, wearing a long-sleeved white T-shirt with a picture in front of her chest, black pants, and blue Nike sneakers.']"
55,"['Một cô gái mặc áo trắng dài tay, quần màu đen, đi giày thể thao nhãn hiệu Nike màu xanh đậm, tóc dài để ở phía sau', 'Một cô gái toc dài màu đen, mặc áo màu trắng dài qua hông, quần màu đen, đi giày thể thao nhãn hiệu Nike màu xanh']","['A girl wearing a long - sleeved white blouse, black pants, dark blue Nike sneakers, long hair in the back', 'A long - sleeved black girl wearing a white shirt that goes over her hips, black pants, and blue Nike sneakers.']"
